"filename", "language", "JSON with Comments", "JSON", "YAML", "Ignore", "TypeScript", "Markdown", "Prisma", "SQL", "Docker", "comment", "blank", "total"
"d:\project\DATN\spotify-clone\server\src\modules\upload\upload.service.spec.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 6, 20
"d:\project\DATN\spotify-clone\server\src\modules\upload\upload.service.ts", "TypeScript", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 7, 28
"d:\project\DATN\spotify-clone\server\src\modules\users\dto\create-user.dto.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"d:\project\DATN\spotify-clone\server\src\modules\users\dto\update-user.dto.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3, 6
"d:\project\DATN\spotify-clone\server\src\modules\users\users.controller.spec.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 6, 22
"d:\project\DATN\spotify-clone\server\src\modules\users\users.controller.ts", "TypeScript", 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 10, 59
"d:\project\DATN\spotify-clone\server\src\modules\users\users.module.ts", "TypeScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 3, 11
"d:\project\DATN\spotify-clone\server\src\modules\users\users.service.spec.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 6, 20
"d:\project\DATN\spotify-clone\server\src\modules\users\users.service.ts", "TypeScript", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 10, 47
"d:\project\DATN\spotify-clone\server\src\modules\webhook\webhook.controller.ts", "TypeScript", 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 5, 18
"d:\project\DATN\spotify-clone\server\src\modules\webhook\webhook.module.ts", "TypeScript", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 4, 14
"d:\project\DATN\spotify-clone\server\src\modules\webhook\webhook.service.ts", "TypeScript", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 4, 14
"d:\project\DATN\spotify-clone\server\ssl.md", "Markdown", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"d:\project\DATN\spotify-clone\server\swagger-generator.ts", "TypeScript", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 5, 22
"d:\project\DATN\spotify-clone\server\test\app.e2e-spec.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 5, 25
"d:\project\DATN\spotify-clone\server\test\jest-e2e.json", "JSON", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
